iteration,keepPower,keepPowerReadback
2,0,0
2,1,1
4,0,0
4,1,1
6,0,0
6,1,1
8,0,0
8,1,1
10,0,0
10,1,1
12,0,0
12,1,1
14,0,0
14,1,1
16,0,0
16,1,1
18,0,0
18,1,1
20,0,0
20,1,1
22,0,0
22,1,1
24,0,0
24,1,1
26,0,0
26,1,1
28,0,0
28,1,1
30,0,0
30,1,1
32,0,0
32,1,1
34,0,0
34,1,1
36,0,0
36,1,1
38,0,0
38,1,1
40,0,0
40,1,1
42,0,0
42,1,1
44,0,0
44,1,1
46,0,0
46,1,1
48,0,0
48,1,1
50,0,0
50,1,1
52,0,0
52,1,1
54,0,0
54,1,1
56,0,0
56,1,1
58,0,0
58,1,1
60,0,0
60,1,1
62,0,0
62,1,1
64,0,0
64,1,1
66,0,0
66,1,1
68,0,0
68,1,1
70,0,0
70,1,1
72,0,0
72,1,1
74,0,0
74,1,1
76,0,0
76,1,1
78,0,0
78,1,1
80,0,0
80,1,1
82,0,0
82,1,1
84,0,0
84,1,1
86,0,0
86,1,1
88,0,0
88,1,1
90,0,0
90,1,1
92,0,0
92,1,1
94,0,0
94,1,1
96,0,0
96,1,1
98,0,0
98,1,1
